Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Expected_stay_days,Reservation_gap
39428300,F,40,Latino,Grad,<25K,North,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,218,1,41
77491756,F,49,Latino,Mid-School,50K -- 100K,East,City Hotel,3,3,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,185,1,36
73747291,F,42,caucasian,Grad,<25K,East,City Hotel,3,3,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,119,4,3
67301739,M,25,African American,College,>100K,South,Airport Hotels,4,3,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,5,144,1,12
77222321,F,62,Latino,High-School,25K --50K,East,Resort,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,Yes,10,242,1,13
55152245,M,34,African American,College,>100K,North,Airport Hotels,5,2,1,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,143,1,13
87139343,F,53,African American,High-School,<25K,East,Airport Hotels,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,25,212,1,-1
7647912,M,40,Latino,Mid-School,>100K,North,City Hotel,2,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,170,1,8
94296865,M,59,African American,Mid-School,>100K,West,Resort,3,2,0,BB,No,No,Non-Refundable,Direct,Yes,Check-In,Yes,10,245,1,84
93087487,M,21,Latino,Grad,50K -- 100K,West,City Hotel,2,3,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,20,212,3,72
21683013,M,69,African American,High-School,<25K,South,City Hotel,1,3,0,BB,No,No,Non-Refundable,Online,No,Check-In,No,0,106,3,20
41573356,F,52,Latino,College,50K -- 100K,South,Airport Hotels,4,3,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,208,1,34
27295370,M,55,caucasian,College,25K --50K,North,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,No,Check-In,No,0,145,1,67
84744933,F,42,Asian American,Grad,<25K,East,Airport Hotels,1,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,180,4,14
79158038,F,69,African American,College,25K --50K,West,Airport Hotels,1,2,2,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,246,2,35
49456071,M,42,caucasian,Grad,>100K,North,Resort,3,3,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,10,203,1,67
99089071,F,22,Asian American,Grad,25K --50K,South,Resort,1,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,220,3,34
26323232,M,32,Asian American,Mid-School,<25K,South,Airport Hotels,1,1,2,BB,Yes,No,No Deposit,Direct,No,Check-In,No,0,182,1,11
14142898,F,55,Asian American,College,<25K,East,Airport Hotels,3,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,168,1,-1
13898482,M,62,Asian American,Mid-School,50K -- 100K,West,Airport Hotels,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,234,1,6
37437329,M,22,African American,Grad,<25K,East,Resort,1,3,2,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,118,1,36
42680944,F,62,caucasian,High-School,>100K,South,Resort,1,2,0,BB,No,No,No Deposit,Agent,No,Check-In,Yes,5,220,4,68
67286844,M,45,Asian American,High-School,25K --50K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,222,1,71
85519191,F,53,Latino,Mid-School,25K --50K,South,City Hotel,5,3,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,161,3,69
2579451,F,33,caucasian,Mid-School,50K -- 100K,South,City Hotel,2,1,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,101,2,125
17727805,M,32,Latino,College,<25K,South,City Hotel,3,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,105,1,77
44808431,F,43,African American,College,<25K,South,City Hotel,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,146,1,47
70317745,F,38,caucasian,High-School,25K --50K,West,City Hotel,3,2,0,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,20,162,1,59
69306508,F,18,Asian American,High-School,<25K,East,City Hotel,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,129,1,76
65535117,M,66,Latino,College,50K -- 100K,South,Resort,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,218,2,97
72188000,M,44,Latino,High-School,<25K,North,Airport Hotels,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,20,191,3,115
34053875,F,43,Latino,High-School,25K --50K,East,Airport Hotels,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,154,1,94
95959457,F,29,Asian American,Mid-School,25K --50K,South,Airport Hotels,3,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,173,1,95
33334436,F,54,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,4,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,216,1,68
97828465,F,48,caucasian,Mid-School,50K -- 100K,South,City Hotel,3,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,103,3,42
70532206,F,43,Latino,College,50K -- 100K,East,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,25,246,1,39
98511366,F,43,caucasian,Grad,>100K,South,Airport Hotels,5,2,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,156,3,12
62860295,F,23,African American,High-School,50K -- 100K,North,City Hotel,3,1,0,BB,Yes,No,No Deposit,Online,No,Check-In,Yes,10,237,1,35
47244513,M,43,African American,Mid-School,25K --50K,South,City Hotel,4,2,1,BB,Yes,No,No Deposit,Agent,No,Check-In,No,0,166,4,39
5385714,M,21,caucasian,College,50K -- 100K,South,Airport Hotels,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,208,4,66
95106668,F,35,African American,Mid-School,25K --50K,South,Airport Hotels,1,1,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,30,159,1,44
140349,F,36,caucasian,Mid-School,25K --50K,South,Resort,2,2,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,10,188,3,42
7709904,F,51,African American,College,50K -- 100K,East,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,134,1,15
89888538,F,29,caucasian,College,50K -- 100K,North,Airport Hotels,2,1,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,20,218,1,69
37320420,F,68,caucasian,High-School,50K -- 100K,East,Airport Hotels,1,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,101,4,103
94772738,M,44,Asian American,College,50K -- 100K,West,Resort,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,No,0,124,3,44
67740487,F,62,caucasian,High-School,<25K,South,Resort,3,2,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,243,2,94
56263406,M,68,Latino,High-School,<25K,South,Airport Hotels,1,1,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,25,238,1,112
93676283,M,69,caucasian,Grad,<25K,South,Resort,2,2,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,150,4,86
73719356,F,66,African American,Grad,>100K,North,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,111,1,49
62215136,F,32,Asian American,Grad,50K -- 100K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,20,240,3,110
53295296,M,59,Latino,High-School,25K --50K,South,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,No,Check-In,Yes,40,237,1,92
21196935,M,44,African American,College,50K -- 100K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Agent,Yes,Check-In,No,0,228,1,75
6285306,F,48,Latino,High-School,50K -- 100K,East,City Hotel,2,2,1,BB,Yes,Yes,No Deposit,Online,No,Check-In,Yes,25,175,1,2
50124298,M,28,African American,College,>100K,North,Airport Hotels,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,15,199,4,-3
44843313,F,67,Latino,College,50K -- 100K,South,Airport Hotels,2,1,0,BB,Yes,Yes,Refundable,Online,No,Check-In,Yes,20,158,1,0
62712158,F,63,caucasian,Grad,>100K,North,Airport Hotels,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,131,1,-1
62570719,M,38,caucasian,Grad,50K -- 100K,North,Airport Hotels,5,1,1,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,149,1,-1
31873692,M,21,African American,Grad,25K --50K,East,City Hotel,2,2,0,BB,Yes,No,Refundable,Online,Yes,Check-In,Yes,20,140,1,-1
88607277,M,60,Latino,High-School,>100K,South,Airport Hotels,2,1,1,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,10,143,1,13
45408396,F,26,Asian American,High-School,<25K,East,City Hotel,1,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,225,1,9
60695251,M,52,caucasian,Grad,>100K,South,Airport Hotels,3,1,1,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,25,201,1,4
18301716,M,24,caucasian,High-School,25K --50K,South,Resort,2,2,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,123,1,16
75436311,M,60,Asian American,Mid-School,<25K,South,Airport Hotels,4,2,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,25,242,1,92
51494336,F,26,Asian American,Mid-School,25K --50K,North,City Hotel,1,3,0,HB,Yes,Yes,Refundable,Online,No,Check-In,Yes,15,179,2,1
37564720,F,26,African American,College,<25K,North,City Hotel,1,1,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,Yes,10,232,1,9
84070025,F,69,Asian American,Grad,>100K,South,Airport Hotels,1,1,2,BB,No,No,Refundable,Agent,Yes,Check-In,Yes,30,127,1,2
58266326,M,56,African American,College,<25K,North,Airport Hotels,3,3,1,BB,Yes,No,No Deposit,Agent,Yes,Check-In,No,0,204,1,50
4845332,M,42,Latino,College,50K -- 100K,East,Resort,3,1,0,BB,Yes,No,No Deposit,Direct,No,Check-In,Yes,10,174,1,70
96798559,F,61,caucasian,College,50K -- 100K,East,Resort,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,219,2,61
75344429,M,63,caucasian,College,50K -- 100K,West,Resort,1,3,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,146,1,61
89456553,F,65,African American,Mid-School,50K -- 100K,East,Resort,5,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,177,1,100
97707055,M,67,Asian American,College,<25K,West,Resort,1,2,1,HB,No,No,No Deposit,Online,No,Check-In,No,0,214,1,1
66082028,M,55,Latino,Grad,<25K,South,City Hotel,4,1,1,BB,Yes,Yes,No Deposit,Direct,Yes,Check-In,No,0,200,2,13
59992741,M,53,Asian American,Mid-School,>100K,South,Resort,4,1,1,BB,No,No,No Deposit,Agent,No,Check-In,No,0,186,3,48
67830167,F,22,caucasian,High-School,25K --50K,North,Resort,5,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,No,0,187,1,2
61148490,M,46,caucasian,College,25K --50K,South,Airport Hotels,2,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,212,3,45
8374938,F,40,Asian American,Mid-School,50K -- 100K,South,Airport Hotels,1,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,No,0,222,2,0
12091786,F,64,Latino,Mid-School,25K --50K,North,Resort,4,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,121,2,70
7675104,M,44,caucasian,College,25K --50K,East,Airport Hotels,5,2,2,BB,No,No,No Deposit,Online,No,Check-In,No,0,203,1,80
44467998,F,28,caucasian,College,<25K,South,City Hotel,1,2,1,BB,Yes,No,Non-Refundable,Online,No,Check-In,Yes,5,227,3,96
54294175,M,40,African American,College,50K -- 100K,North,Airport Hotels,1,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,20,249,1,367
37285949,F,21,Asian American,Mid-School,>100K,South,City Hotel,2,2,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,243,3,361
52449633,F,62,Latino,Grad,50K -- 100K,South,Resort,2,1,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,10,231,1,80
43700894,M,58,Asian American,Mid-School,50K -- 100K,East,Resort,2,1,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,25,169,4,95
19868896,F,34,Latino,College,<25K,South,City Hotel,1,1,0,HB,Yes,No,Refundable,Online,No,Check-In,Yes,25,188,1,323
64763276,M,31,caucasian,Grad,25K --50K,East,City Hotel,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,100,3,66
50935350,M,37,Asian American,College,<25K,East,City Hotel,2,1,1,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,40,170,3,76
59376256,F,51,Asian American,Mid-School,<25K,West,City Hotel,2,1,1,BB,No,No,No Deposit,Direct,No,Check-In,Yes,20,146,3,9
2454990,M,47,Latino,Grad,25K --50K,West,Resort,1,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,121,1,8
66392370,M,56,Latino,Grad,<25K,North,City Hotel,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,No,0,102,1,0
41050783,M,51,African American,Grad,<25K,South,Resort,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,138,2,19
4295644,F,39,African American,Grad,<25K,South,Airport Hotels,1,1,0,BB,No,No,Refundable,Agent,No,Check-In,Yes,20,242,3,6
41547218,M,29,Asian American,College,50K -- 100K,West,Resort,1,2,1,BB,Yes,Yes,Refundable,Direct,No,Check-In,Yes,5,203,2,107
5293613,M,46,African American,High-School,25K --50K,North,Airport Hotels,2,1,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,235,1,108
16778927,F,66,African American,Mid-School,50K -- 100K,West,Airport Hotels,2,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,15,205,1,71
44624415,M,49,African American,Mid-School,25K --50K,South,Resort,1,2,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,215,1,62
1691869,F,38,Latino,Mid-School,>100K,West,Airport Hotels,2,1,0,HB,No,No,Refundable,Direct,Yes,Check-In,Yes,5,240,2,61
89215770,M,57,Latino,Grad,25K --50K,South,City Hotel,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,30,226,4,97
20176010,M,46,caucasian,College,50K -- 100K,South,City Hotel,1,1,2,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,164,2,100
40028695,F,59,African American,High-School,50K -- 100K,East,City Hotel,4,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,25,204,2,2
11260215,F,23,Asian American,College,<25K,South,City Hotel,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,158,4,94
76318666,F,32,Asian American,High-School,25K --50K,North,Resort,2,2,0,BB,Yes,Yes,No Deposit,Agent,Yes,Check-In,Yes,15,204,2,90
56252511,M,28,Latino,High-School,<25K,South,Airport Hotels,3,1,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,5,117,1,94
15611316,F,47,caucasian,College,25K --50K,West,Airport Hotels,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,209,3,99
27064774,M,52,African American,Grad,<25K,East,Resort,5,1,0,BB,Yes,No,Refundable,Online,No,Check-In,Yes,10,114,1,25
46967349,F,35,Latino,Grad,25K --50K,South,Airport Hotels,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,5,229,1,72
70161171,F,48,caucasian,Mid-School,50K -- 100K,North,Resort,2,2,0,BB,Yes,No,Refundable,Online,No,Check-In,No,0,129,2,100
81928060,F,26,Latino,High-School,25K --50K,South,Resort,4,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,189,2,113
20965226,F,30,caucasian,College,<25K,South,Resort,2,1,2,BB,Yes,Yes,No Deposit,Agent,No,Check-In,Yes,5,247,1,101
99218933,F,57,caucasian,Grad,50K -- 100K,South,City Hotel,3,3,0,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,245,2,84
18472049,F,19,caucasian,College,<25K,North,City Hotel,5,2,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,20,191,1,77
54997115,F,22,Asian American,College,25K --50K,North,Airport Hotels,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,No,0,214,1,51
47708934,M,60,caucasian,College,<25K,East,Resort,1,2,0,BB,Yes,No,Refundable,Direct,Yes,Check-In,Yes,10,228,3,26
